Deprecated_Index,NAME,HIS,MBTI,source,url
2285,George Harrison Xanthis,Explorers,ESFP,https://boo.world/database/profile/6805/george-harrison-xanthis-personality-type,boo.world
9949,Dominykas Klajumas,Healers,INFP,personality-database.com,https://pdb-web-static.s3.us-east-2.amazonaws.com/avatars/profile_avatar.png
6394,In-Sung Jo,Healers,ENFJ,https://boo.world/database/profile/7795/in-sung-jo-personality-type,boo.world
7110,Jung Soon-won,Wizards,ENTJ,https://boo.world/database/profile/10288/jung-soon-won-personality-type,boo.world
2711,Kate Phillips,Knights,ISFJ,https://boo.world/database/profile/10553/kate-phillips-personality-type,boo.world
19919,,,,,
10813,Pia Wurtzbach,Healers,ENFJ,personality-database.com,https://static1.personality-database.com/profile_images/53600afb2de541d4b109ac55b8a50b85.png
3949,Ron Perlman,Knights,ESTJ,https://boo.world/database/profile/16709/ron-perlman-personality-type,boo.world
946,Tony Nappo,Wizards,INTP,https://boo.world/database/profile/19210/tony-nappo-personality-type,boo.world
4426,Stewart Granger,Knights,ISTJ,https://boo.world/database/profile/18296/stewart-granger-personality-type,boo.world
6751,Joseph L. Mankiewicz,Explorers,ESFP,https://boo.world/database/profile/9939/joseph-l-mankiewicz-personality-type,boo.world
5725,Lucy Davis,Knights,ISTJ,https://boo.world/database/profile/12323/lucy-davis-personality-type,boo.world
217,Lanei Chapman,Knights,ESFJ,https://boo.world/database/profile/11413/lanei-chapman-personality-type,boo.world
4091,Marsha Mason,Wizards,INTP,https://boo.world/database/profile/13006/marsha-mason-personality-type,boo.world
2210,Carlos Pratts,Healers,ENFP,https://boo.world/database/profile/3033/carlos-pratts-personality-type,boo.world
822,Daryl Hannah,Healers,INFP,https://boo.world/database/profile/4574/daryl-hannah-personality-type,boo.world
8616,Katy Selverstone,Knights,ISFJ,https://boo.world/database/profile/10723/katy-selverstone-personality-type,boo.world
9205,Sam McCarthy,Healers,INFP,https://boo.world/database/profile/17064/sam-mccarthy-personality-type,boo.world
3954,Andrew Bryniarski,Explorers,ESTP,https://boo.world/database/profile/1076/andrew-bryniarski-personality-type,boo.world
5583,Edy Ganem,Knights,ESTJ,https://boo.world/database/profile/5572/edy-ganem-personality-type,boo.world
1497,Renée Zellweger,Knights,ISFJ,https://boo.world/database/profile/16125/ren%C3%A9e-zellweger-personality-type,boo.world
8667,Jason Schwartzman,Knights,ISFJ,https://boo.world/database/profile/8561/jason-schwartzman-personality-type,boo.world
4443,Leonie Elliott,Knights,ESTJ,https://boo.world/database/profile/11787/leonie-elliott-personality-type,boo.world
6620,Mara Davi,Healers,INFP,https://boo.world/database/profile/12670/mara-davi-personality-type,boo.world
4998,Garrett Wang,Knights,ISFJ,https://boo.world/database/profile/6640/garrett-wang-personality-type,boo.world
838,Holly Madison,Knights,ESFJ,https://boo.world/database/profile/7610/holly-madison-personality-type,boo.world
10743,Officer Byrd (Judge Judy),Explorers,ISTP,personality-database.com,https://static1.personality-database.com/profile_images/7165cc11ed684ca1ad09f569f1225a76.png
1229,Louis Theroux,Wizards,INTP,https://boo.world/database/profile/12243/louis-theroux-personality-type,boo.world
1636,Kate Berlant,Wizards,ENTP,https://boo.world/database/profile/10506/kate-berlant-personality-type,boo.world
8628,Sydney Pollack,Wizards,ENTP,https://boo.world/database/profile/18473/sydney-pollack-personality-type,boo.world
2329,Bob Mortimer,Healers,ENFP,https://boo.world/database/profile/2379/bob-mortimer-personality-type,boo.world
3103,Jerry Trainor,Healers,ENFP,https://boo.world/database/profile/8973/jerry-trainor-personality-type,boo.world
2117,Kim Greist,Wizards,ENTJ,https://boo.world/database/profile/11102/kim-greist-personality-type,boo.world
224,Shirley Knight,Healers,ENFJ,https://boo.world/database/profile/17750/shirley-knight-personality-type,boo.world
6801,Darlene Love,Healers,INFJ,https://boo.world/database/profile/4550/darlene-love-personality-type,boo.world
6855,Brian Tyler,Wizards,ENTJ,https://boo.world/database/profile/2647/brian-tyler-personality-type,boo.world
2639,Gemma Craven,Knights,ISFJ,https://boo.world/database/profile/6716/gemma-craven-personality-type,boo.world
3737,Shirley Jones,Healers,ENFP,https://boo.world/database/profile/17749/shirley-jones-personality-type,boo.world
8359,Kathy Ireland,Wizards,INTP,https://boo.world/database/profile/10663/kathy-ireland-personality-type,boo.world
10090,Genevieve Hannelius (G Hannelius),Healers,ENFJ,personality-database.com,https://static1.personality-database.com/profile_images/8f653c56fa1c47babcc430c7ad33c300.png
10488,Linus,Explorers,ESTP,personality-database.com,https://static1.personality-database.com/profile_images/2fd34ffa86d84937a70a8095a6660830.png
9916,Davika Hoorne,Knights,ESTJ,personality-database.com,https://static1.personality-database.com/profile_images/b35799b840574af195ec1abead1bd44b.png
2301,Kether Donohue,Healers,INFJ,https://boo.world/database/profile/10969/kether-donohue-personality-type,boo.world
4069,Kyle Howard,Wizards,ENTJ,https://boo.world/database/profile/11333/kyle-howard-personality-type,boo.world
7580,Tom Skerritt,Explorers,ISFP,https://boo.world/database/profile/19120/tom-skerritt-personality-type,boo.world
8978,Florence Kasumba,Wizards,INTJ,https://boo.world/database/profile/6380/florence-kasumba-personality-type,boo.world
8104,Alice Ghostley,Knights,ISTJ,https://boo.world/database/profile/643/alice-ghostley-personality-type,boo.world
559,Clark Gable,Healers,ENFP,https://boo.world/database/profile/3872/clark-gable-personality-type,boo.world
3775,Erich Bergen,Knights,ESTJ,https://boo.world/database/profile/6075/erich-bergen-personality-type,boo.world
10059,Florence Foresti,Wizards,ENTP,personality-database.com,https://pdb-web-static.s3.us-east-2.amazonaws.com/avatars/profile_avatar.png
8936,Nicolette Langley,Knights,ESTJ,https://boo.world/database/profile/14725/nicolette-langley-personality-type,boo.world
1278,Brielle Barbusca,Knights,ESFJ,https://boo.world/database/profile/2677/brielle-barbusca-personality-type,boo.world
3363,Curly Howard,Explorers,ESFP,https://boo.world/database/profile/4176/curly-howard-personality-type,boo.world
10506,Luna Maya,Knights,ESTJ,personality-database.com,https://static1.personality-database.com/profile_images/940ebcd4d952423e81fbfc9993af3c0a.png
3901,David Robert Mitchell,Wizards,INTP,https://boo.world/database/profile/4784/david-robert-mitchell-personality-type,boo.world
1294,Janet Suzman,Explorers,ESTP,https://boo.world/database/profile/8458/janet-suzman-personality-type,boo.world
4572,David Bowie,Healers,INFP,https://boo.world/database/profile/4625/david-bowie-personality-type,boo.world
829,John Bluthal,Wizards,ENTP,https://boo.world/database/profile/9481/john-bluthal-personality-type,boo.world
2989,Jade Catta-Preta,Healers,ENFJ,https://boo.world/database/profile/8119/jade-catta-preta-personality-type,boo.world
733,Nicholas Lyndhurst,Knights,ISFJ,https://boo.world/database/profile/14604/nicholas-lyndhurst-personality-type,boo.world
3886,Nigel Betts,Knights,ESTJ,https://boo.world/database/profile/14731/nigel-betts-personality-type,boo.world
8541,Radha Mitchell,Explorers,ESFP,https://boo.world/database/profile/15849/radha-mitchell-personality-type,boo.world
1494,Jennette McCurdy,Explorers,ISFP,https://boo.world/database/profile/8807/jennette-mccurdy-personality-type,boo.world
3447,Ken Kercheval,Healers,INFJ,https://boo.world/database/profile/10883/ken-kercheval-personality-type,boo.world
5330,Zoe R. Cassavetes,Healers,ENFP,https://boo.world/database/profile/20143/zoe-r-cassavetes-personality-type,boo.world
643,Lyndon Smith,Explorers,ESFP,https://boo.world/database/profile/12433/lyndon-smith-personality-type,boo.world
4430,Pete Davidson,Healers,ENFP,https://boo.world/database/profile/15478/pete-davidson-personality-type,boo.world
7381,Sterling Beaumon,Knights,ISFJ,https://boo.world/database/profile/18191/sterling-beaumon-personality-type,boo.world
5636,George Mathews,Wizards,INTP,https://boo.world/database/profile/6817/george-mathews-personality-type,boo.world
6330,Montgomery Clift,Healers,INFP,https://boo.world/database/profile/14212/montgomery-clift-personality-type,boo.world
6042,Jerry Hall,Knights,ESFJ,https://boo.world/database/profile/8960/jerry-hall-personality-type,boo.world
2381,Henry Selick,Healers,INFP,https://boo.world/database/profile/7548/henry-selick-personality-type,boo.world
1517,Cynthia Chenault,Knights,ESTJ,https://boo.world/database/profile/4190/cynthia-chenault-personality-type,boo.world
10339,Kanata Aikawa,Healers,INFP,personality-database.com,https://static1.personality-database.com/profile_images/2eabf7302dbd4eb5a3cd9715277d10a2.png
2679,Mia Kirshner,Healers,INFJ,https://boo.world/database/profile/13593/mia-kirshner-personality-type,boo.world
1894,Michael Grant,Healers,ENFJ,https://boo.world/database/profile/13699/michael-grant-personality-type,boo.world
4666,Tony Musante,Explorers,ISFP,https://boo.world/database/profile/19208/tony-musante-personality-type,boo.world
6681,Clint Walker,Knights,ISFJ,https://boo.world/database/profile/3929/clint-walker-personality-type,boo.world
886,Pha'rez Lass,Knights,ESTJ,https://boo.world/database/profile/15603/pharez-lass-personality-type,boo.world
3952,Wendell Corey,Knights,ISFJ,https://boo.world/database/profile/19747/wendell-corey-personality-type,boo.world
9894,Dani Rovira,Healers,ENFP,personality-database.com,
3572,Samantha Thomas,Explorers,ISFP,https://boo.world/database/profile/17122/samantha-thomas-personality-type,boo.world
5531,Gina Hecht,Knights,ESFJ,https://boo.world/database/profile/6949/gina-hecht-personality-type,boo.world
7585,Ben Cooper,Healers,INFJ,https://boo.world/database/profile/2030/ben-cooper-personality-type,boo.world
2861,Erik Charles Nielsen,Knights,ESTJ,https://boo.world/database/profile/6079/erik-charles-nielsen-personality-type,boo.world
4048,Andrew Lees,Knights,ESFJ,https://boo.world/database/profile/1105/andrew-lees-personality-type,boo.world
3063,John Smith,Wizards,ENTJ,https://boo.world/database/profile/9693/john-smith-personality-type,boo.world
9934,Declan Donnelly,Knights,ESFJ,personality-database.com,https://static1.personality-database.com/profile_images/25c28ae9195a4db6b37ea2ef02ccbcf6.png
3605,Tom Smothers,Knights,ESFJ,https://boo.world/database/profile/19121/tom-smothers-personality-type,boo.world
2544,Nell Campbell,Wizards,INTP,https://boo.world/database/profile/14542/nell-campbell-personality-type,boo.world
6750,Victoria Pratt,Healers,ENFJ,https://boo.world/database/profile/19584/victoria-pratt-personality-type,boo.world
2937,Richard Wilson,Explorers,ESTP,https://boo.world/database/profile/16293/richard-wilson-personality-type,boo.world
4834,Lisa Vicari,Healers,INFJ,https://boo.world/database/profile/12084/lisa-vicari-personality-type,boo.world
1532,Paul Frees,Wizards,INTJ,https://boo.world/database/profile/15300/paul-frees-personality-type,boo.world
9607,Aline Campos (Aline Riscado),Explorers,ISFP,personality-database.com,https://static1.personality-database.com/profile_images/413f2bcbc6e544269fcfb0197c798f0a.png
8653,Max Winkler,Wizards,INTJ,https://boo.world/database/profile/13358/max-winkler-personality-type,boo.world
5574,Marlo Thomas,Wizards,ENTJ,https://boo.world/database/profile/12993/marlo-thomas-personality-type,boo.world
4086,Morris Chestnut,Healers,ENFP,https://boo.world/database/profile/14244/morris-chestnut-personality-type,boo.world
3717,Shelley Regner,Explorers,ISFP,https://boo.world/database/profile/17705/shelley-regner-personality-type,boo.world
693,Dean Martin,Knights,ESTJ,https://boo.world/database/profile/4860/dean-martin-personality-type,boo.world
8283,Todd Sherry,Healers,INFJ,https://boo.world/database/profile/19023/todd-sherry-personality-type,boo.world
7995,Sean Faris,Explorers,ISFP,https://boo.world/database/profile/17455/sean-faris-personality-type,boo.world
6975,J. Alex Brinson,Knights,ISTJ,https://boo.world/database/profile/7936/j-alex-brinson-personality-type,boo.world
961,Annie Clark,Explorers,ISFP,https://boo.world/database/profile/1414/annie-clark-personality-type,boo.world
8139,Cody Christian,Explorers,ESTP,https://boo.world/database/profile/3951/cody-christian-personality-type,boo.world
7677,Jeff Probst,Healers,ENFJ,https://boo.world/database/profile/8743/jeff-probst-personality-type,boo.world
4296,Paula Burrows,Healers,ENFJ,https://boo.world/database/profile/15378/paula-burrows-personality-type,boo.world
7505,Lynne Marta,Knights,ESFJ,https://boo.world/database/profile/12454/lynne-marta-personality-type,boo.world
1188,Sterling Jerins,Knights,ISFJ,https://boo.world/database/profile/18194/sterling-jerins-personality-type,boo.world
7871,Marc Hosemann,Wizards,INTP,https://boo.world/database/profile/12685/marc-hosemann-personality-type,boo.world
9377,1stchancellorofthegermanempire (Influencer),Wizards,ENTP,personality-database.com,https://pdb-web-static.s3.us-east-2.amazonaws.com/avatars/profile_avatar.png
345,Rick Springfield,Healers,ENFJ,https://boo.world/database/profile/16317/rick-springfield-personality-type,boo.world
7646,Lee Boardman,Healers,ENFJ,https://boo.world/database/profile/11661/lee-boardman-personality-type,boo.world
10420,Kovács András Péter (KAP),Knights,ISFJ,personality-database.com,https://static1.personality-database.com/profile_images/385870094fd34f96b5563d5d12ed66f6.png
9046,Brenton Thwaites,Explorers,ISFP,https://boo.world/database/profile/2569/brenton-thwaites-personality-type,boo.world
5830,Lon Chaney,Explorers,ISTP,https://boo.world/database/profile/12157/lon-chaney-personality-type,boo.world
1024,Ruth Negga,Healers,INFJ,https://boo.world/database/profile/16910/ruth-negga-personality-type,boo.world
10056,Flavio Montrucchio,Healers,ENFP,personality-database.com,https://static1.personality-database.com/profile_images/0d5f16055ca245b183fac98a37208744.png
2819,John Larch,Wizards,ENTP,https://boo.world/database/profile/9597/john-larch-personality-type,boo.world
13,Rick Hurst,Knights,ISFJ,https://boo.world/database/profile/16309/rick-hurst-personality-type,boo.world
7518,Ted Lange,Healers,ENFJ,https://boo.world/database/profile/18693/ted-lange-personality-type,boo.world
8112,Mark Rylance,Healers,INFP,https://boo.world/database/profile/12960/mark-rylance-personality-type,boo.world
1535,Mellanie Hubert,Wizards,ENTJ,https://boo.world/database/profile/13542/mellanie-hubert-personality-type,boo.world
2516,Andrea Andrade,Healers,ENFP,https://boo.world/database/profile/1028/andrea-andrade-personality-type,boo.world
8866,Gracelyn Awad Rinke,Wizards,INTJ,https://boo.world/database/profile/7076/gracelyn-awad-rinke-personality-type,boo.world
3599,Scott Bairstow,Wizards,ENTJ,https://boo.world/database/profile/17388/scott-bairstow-personality-type,boo.world
8103,David Suchet,Healers,INFJ,https://boo.world/database/profile/4806/david-suchet-personality-type,boo.world
8235,Scotty Beckett,Healers,INFJ,https://boo.world/database/profile/17440/scotty-beckett-personality-type,boo.world
2521,Tom Ford,Healers,INFJ,https://boo.world/database/profile/19069/tom-ford-personality-type,boo.world
7261,Matt Prokop,Knights,ISTJ,https://boo.world/database/profile/13227/matt-prokop-personality-type,boo.world
2855,Grant Gustin,Healers,INFP,https://boo.world/database/profile/7103/grant-gustin-personality-type,boo.world
1751,Audrey Fleurot,Knights,ISTJ,https://boo.world/database/profile/1754/audrey-fleurot-personality-type,boo.world
9586,Ali Plumb,Healers,ENFP,personality-database.com,https://static1.personality-database.com/profile_images/b7c22baf086349cca8aa17100af4e98b.png
136,Craig Gillespie,Wizards,ENTJ,https://boo.world/database/profile/4123/craig-gillespie-personality-type,boo.world
6776,Justin Cornwell,Explorers,ESTP,https://boo.world/database/profile/10307/justin-cornwell-personality-type,boo.world
3713,Ángela Molina,Healers,ENFP,https://boo.world/database/profile/1192/%C3%A1ngela-molina-personality-type,boo.world
82,Owen Joyner,Explorers,ESFP,https://boo.world/database/profile/15050/owen-joyner-personality-type,boo.world
5344,Valerie Bertinelli,Healers,ENFJ,https://boo.world/database/profile/19447/valerie-bertinelli-personality-type,boo.world
5235,Temuera Morrison,Explorers,ISTP,https://boo.world/database/profile/18711/temuera-morrison-personality-type,boo.world
7900,Winnie Harlow,Explorers,ISFP,https://boo.world/database/profile/19927/winnie-harlow-personality-type,boo.world
10573,Marley,Healers,ENFP,personality-database.com,https://static1.personality-database.com/profile_images/a304a3516a9e4a0a9bb7dfce5f1fa08c.png
8126,Ed Gale,Explorers,ESFP,https://boo.world/database/profile/5476/ed-gale-personality-type,boo.world
10666,Miguel Gila,Explorers,ISTP,personality-database.com,https://static1.personality-database.com/profile_images/8f106a252c3b43e19411a53bb35ecb01.png
3502,Collette Wolfe,Wizards,INTP,https://boo.world/database/profile/3999/collette-wolfe-personality-type,boo.world
860,Jimmy Smits,Knights,ESFJ,https://boo.world/database/profile/9205/jimmy-smits-personality-type,boo.world
5251,Beverley Mitchell,Explorers,ESTP,https://boo.world/database/profile/2190/beverley-mitchell-personality-type,boo.world
7858,Lisa Eilbacher,Explorers,ISTP,https://boo.world/database/profile/12040/lisa-eilbacher-personality-type,boo.world
506,Jennifer Schwalbach Smith,Wizards,ENTJ,https://boo.world/database/profile/8869/jennifer-schwalbach-smith-personality-type,boo.world
2997,Michelle Veintimilla,Knights,ISFJ,https://boo.world/database/profile/13935/michelle-veintimilla-personality-type,boo.world
2507,Jonathan Joss,Healers,ENFP,https://boo.world/database/profile/9827/jonathan-joss-personality-type,boo.world
5893,Ben Kingsley,Healers,INFJ,https://boo.world/database/profile/2045/ben-kingsley-personality-type,boo.world
2498,Emmanuel Lubezki,Explorers,ISTP,https://boo.world/database/profile/5979/emmanuel-lubezki-personality-type,boo.world
8328,Constance Ford,Explorers,ISFP,https://boo.world/database/profile/4047/constance-ford-personality-type,boo.world
7170,Dan Payne,Wizards,ENTP,https://boo.world/database/profile/4328/dan-payne-personality-type,boo.world
10431,Kristin Bauer van Straten,Explorers,ISFP,personality-database.com,https://static1.personality-database.com/profile_images/d3bb125bc60c428fadd5f456d3297402.png
7439,Mason Alexander Park,Explorers,ISFP,https://boo.world/database/profile/13151/mason-alexander-park-personality-type,boo.world
4461,Maria Julian,Healers,ENFJ,https://boo.world/database/profile/12785/maria-julian-personality-type,boo.world
7800,Joseph R. Gannascoli,Healers,INFP,https://boo.world/database/profile/9950/joseph-r-gannascoli-personality-type,boo.world
10565,Marco Marzocca,Wizards,ENTP,personality-database.com,https://static1.personality-database.com/profile_images/1971546250e64fb9aeca63551a3ccd6e.png
9836,Chico Anysio,Wizards,ENTP,personality-database.com,https://static1.personality-database.com/profile_images/8aa9e6134b1347c2805a31c715662a34.png
921,Courtenay Taylor,Wizards,ENTJ,https://boo.world/database/profile/4095/courtenay-taylor-personality-type,boo.world
7511,Lachlan Watson,Wizards,INTJ,https://boo.world/database/profile/11369/lachlan-watson-personality-type,boo.world
6393,Nina Shipman,Explorers,ESTP,https://boo.world/database/profile/14783/nina-shipman-personality-type,boo.world
7123,Amy Manson,Healers,INFJ,https://boo.world/database/profile/951/amy-manson-personality-type,boo.world
8340,Nick Sagar,Healers,ENFJ,https://boo.world/database/profile/14652/nick-sagar-personality-type,boo.world
23,Michael Emerson,Healers,INFJ,https://boo.world/database/profile/13683/michael-emerson-personality-type,boo.world
6058,Andree Vermeulen,Healers,ENFJ,https://boo.world/database/profile/1068/andree-vermeulen-personality-type,boo.world
4646,Eve Hewson,Knights,ISTJ,https://boo.world/database/profile/6229/eve-hewson-personality-type,boo.world
7223,Dennis Haskins,Healers,INFJ,https://boo.world/database/profile/5001/dennis-haskins-personality-type,boo.world
4876,Richard Cant,Knights,ESFJ,https://boo.world/database/profile/16198/richard-cant-personality-type,boo.world
7206,Kelly Adams,Knights,ISTJ,https://boo.world/database/profile/10818/kelly-adams-personality-type,boo.world
3568,Sam Lloyd,Wizards,ENTP,https://boo.world/database/profile/17063/sam-lloyd-personality-type,boo.world
10429,Kristen Schaal,Healers,ENFP,personality-database.com,https://static1.personality-database.com/profile_images/0669fd52c9cb4bb2a06ce1eb9f9cc056.png
7098,François Arnaud,Wizards,ENTJ,https://boo.world/database/profile/6453/fran%C3%A7ois-arnaud-personality-type,boo.world
43,Pia Zadora,Explorers,ESTP,https://boo.world/database/profile/15678/pia-zadora-personality-type,boo.world
4813,John Hamburg,Wizards,INTP,https://boo.world/database/profile/9563/john-hamburg-personality-type,boo.world
9138,Hannah Fierman,Knights,ESFJ,https://boo.world/database/profile/7306/hannah-fierman-personality-type,boo.world
137,Emily VanCamp,Healers,ENFP,https://boo.world/database/profile/5921/emily-vancamp-personality-type,boo.world
7005,Amy Spanger,Explorers,ISTP,https://boo.world/database/profile/970/amy-spanger-personality-type,boo.world
3483,Denny Miller,Knights,ISTJ,https://boo.world/database/profile/5014/denny-miller-personality-type,boo.world
4451,Colin Donnell,Healers,ENFJ,https://boo.world/database/profile/3972/colin-donnell-personality-type,boo.world
3783,Jasmine Cephas Jones,Explorers,ISFP,https://boo.world/database/profile/8496/jasmine-cephas-jones-personality-type,boo.world
5155,Cate Shortland,Wizards,ENTJ,https://boo.world/database/profile/3185/cate-shortland-personality-type,boo.world
8961,Anupam Tripathi,Healers,ENFP,https://boo.world/database/profile/1522/anupam-tripathi-personality-type,boo.world
1862,Amanda Arcuri,Healers,ENFP,https://boo.world/database/profile/812/amanda-arcuri-personality-type,boo.world
2464,Anna Diop,Healers,INFP,https://boo.world/database/profile/1296/anna-diop-personality-type,boo.world
9144,Rula Lenska,Knights,ISFJ,https://boo.world/database/profile/16867/rula-lenska-personality-type,boo.world
9151,Scott Foxx,Knights,ESFJ,https://boo.world/database/profile/17402/scott-foxx-personality-type,boo.world
7695,Willow Shields,Healers,INFJ,https://boo.world/database/profile/19918/willow-shields-personality-type,boo.world
7159,Michelle Monaghan,Knights,ISTJ,https://boo.world/database/profile/13917/michelle-monaghan-personality-type,boo.world
9294,Lidya Jewett,Wizards,ENTP,https://boo.world/database/profile/11884/lidya-jewett-personality-type,boo.world
8262,Justin Kirk,Explorers,ESTP,https://boo.world/database/profile/10313/justin-kirk-personality-type,boo.world
4905,Dan Fogelman,Wizards,ENTP,https://boo.world/database/profile/4306/dan-fogelman-personality-type,boo.world
87,Catherine Spaak,Explorers,ISTP,https://boo.world/database/profile/3216/catherine-spaak-personality-type,boo.world
7763,Brandon Molale,Wizards,ENTJ,https://boo.world/database/profile/2498/brandon-molale-personality-type,boo.world
9484,Afonso Padilha,Wizards,INTP,personality-database.com,https://static1.personality-database.com/profile_images/c86afc9acf6446c3b9033dce086dadd0.png
797,James Roday Rodriguez,Explorers,ESFP,https://boo.world/database/profile/8321/james-roday-rodriguez-personality-type,boo.world
3933,Stephanie Leonidas,Explorers,ESFP,https://boo.world/database/profile/18104/stephanie-leonidas-personality-type,boo.world
7173,Shane Graham,Wizards,INTP,https://boo.world/database/profile/17572/shane-graham-personality-type,boo.world
5378,Allison Hossack,Wizards,INTP,https://boo.world/database/profile/750/allison-hossack-personality-type,boo.world
9367,James Jordan,Wizards,ENTP,https://boo.world/database/profile/8262/james-jordan-personality-type,boo.world
6212,Makenzie Vega,Knights,ESFJ,https://boo.world/database/profile/12617/makenzie-vega-personality-type,boo.world
8576,Ashley Pharoah,Explorers,ESTP,https://boo.world/database/profile/1699/ashley-pharoah-personality-type,boo.world
8634,Sam Asghari,Explorers,ISTP,https://boo.world/database/profile/17040/sam-asghari-personality-type,boo.world
8143,Laraine Newman,Explorers,ESFP,https://boo.world/database/profile/11433/laraine-newman-personality-type,boo.world
4935,Billy Kametz,Healers,ENFP,https://boo.world/database/profile/2292/billy-kametz-personality-type,boo.world
8857,Don Keefer,Wizards,ENTP,https://boo.world/database/profile/5269/don-keefer-personality-type,boo.world
1185,Erin Brown,Healers,INFP,https://boo.world/database/profile/6104/erin-brown-personality-type,boo.world
8891,Lee-Anne Liebenberg,Wizards,INTJ,https://boo.world/database/profile/11707/lee-anne-liebenberg-personality-type,boo.world
6299,Marcus Henderson,Wizards,INTP,https://boo.world/database/profile/12725/marcus-henderson-personality-type,boo.world
2662,Peter Bromilow,Explorers,ESFP,https://boo.world/database/profile/15494/peter-bromilow-personality-type,boo.world
2073,Jordan Vogt-Roberts,Wizards,INTP,https://boo.world/database/profile/9895/jordan-vogt-roberts-personality-type,boo.world
5676,T.I.,Explorers,ISTP,https://boo.world/database/profile/18492/ti-personality-type,boo.world
7037,Cristiana Dell'Anna,Wizards,ENTP,https://boo.world/database/profile/4154/cristiana-dellanna-personality-type,boo.world
2535,Robert Elswit,Explorers,ISTP,https://boo.world/database/profile/16465/robert-elswit-personality-type,boo.world
7403,Dax Shepard,Wizards,ENTP,https://boo.world/database/profile/4845/dax-shepard-personality-type,boo.world
10550,Marcin Prokop,Wizards,ENTP,personality-database.com,https://static1.personality-database.com/profile_images/46bca7fe06ba46c18870498ed22fcd57.png
5177,Katherine Hughes,Explorers,ISFP,https://boo.world/database/profile/10588/katherine-hughes-personality-type,boo.world
7066,David Attenborough,Healers,INFP,https://boo.world/database/profile/4615/david-attenborough-personality-type,boo.world
8897,Park Jin-Joo,Knights,ESFJ,https://boo.world/database/profile/15137/park-jin-joo-personality-type,boo.world
6261,Emayatzy Corinealdi,Knights,ISTJ,https://boo.world/database/profile/5840/emayatzy-corinealdi-personality-type,boo.world
773,Ally Walker,Healers,INFP,https://boo.world/database/profile/768/ally-walker-personality-type,boo.world
4594,Nicholas Campbell,Knights,ESFJ,https://boo.world/database/profile/14587/nicholas-campbell-personality-type,boo.world
2596,Christine Baumgartner,Explorers,ISTP,https://boo.world/database/profile/3697/christine-baumgartner-personality-type,boo.world
7018,Maxwell Jenkins,Knights,ESFJ,https://boo.world/database/profile/13371/maxwell-jenkins-personality-type,boo.world
7218,Sam Levinson,Healers,INFP,https://boo.world/database/profile/17062/sam-levinson-personality-type,boo.world
9795,Carmina Villarroel,Knights,ESFJ,personality-database.com,https://static1.personality-database.com/profile_images/707bf6a835d44df0a8aaa4180aa43737.png
38,Kirsten Storms,Explorers,ESFP,https://boo.world/database/profile/11189/kirsten-storms-personality-type,boo.world
8625,Brecken Merrill,Healers,ENFP,https://boo.world/database/profile/2524/brecken-merrill-personality-type,boo.world
10809,Phoebe Tomlinson,Healers,ENFJ,personality-database.com,https://static1.personality-database.com/profile_images/27eec78623394e2daabc6842391a80eb.png
4975,Tom Brady,Healers,ENFP,https://boo.world/database/profile/19046/tom-brady-personality-type,boo.world
7656,Cecil Kellaway,Knights,ESTJ,https://boo.world/database/profile/3240/cecil-kellaway-personality-type,boo.world
3002,David Hyde Pierce,Wizards,ENTP,https://boo.world/database/profile/4707/david-hyde-pierce-personality-type,boo.world
3821,Daniel Diemer,Healers,INFP,https://boo.world/database/profile/4388/daniel-diemer-personality-type,boo.world
7338,Farrah Mackenzie,Knights,ESFJ,https://boo.world/database/profile/6284/farrah-mackenzie-personality-type,boo.world
52,Paige Spara,Healers,INFJ,https://boo.world/database/profile/15082/paige-spara-personality-type,boo.world
9370,John Houseman,Wizards,INTP,https://boo.world/database/profile/9579/john-houseman-personality-type,boo.world
3899,Rosanna DeSoto,Knights,ESTJ,https://boo.world/database/profile/16763/rosanna-desoto-personality-type,boo.world
4971,Corinne Massiah,Wizards,INTJ,https://boo.world/database/profile/4079/corinne-massiah-personality-type,boo.world
3824,Xenia Seeberg,Knights,ISTJ,https://boo.world/database/profile/19968/xenia-seeberg-personality-type,boo.world
8049,Jessica Bowman,Explorers,ISFP,https://boo.world/database/profile/9025/jessica-bowman-personality-type,boo.world
4151,Rebecca Ferguson,Explorers,ISFP,https://boo.world/database/profile/16023/rebecca-ferguson-personality-type,boo.world
6678,Ivan Kaye,Explorers,ISTP,https://boo.world/database/profile/7914/ivan-kaye-personality-type,boo.world
843,Christopher Showerman,Explorers,ESFP,https://boo.world/database/profile/3774/christopher-showerman-personality-type,boo.world
9890,Dane Dehaan,Healers,INFJ,personality-database.com,
9281,William Phipps,Healers,INFJ,https://boo.world/database/profile/19894/william-phipps-personality-type,boo.world
10687,Moritz Bleibtreu,Knights,ISTJ,personality-database.com,https://static1.personality-database.com/profile_images/e8de881d0a6846a79f931623af0188a7.png
752,Helena Bergström,Explorers,ISTP,https://boo.world/database/profile/7514/helena-bergstr%C3%B6m-personality-type,boo.world
8783,Janeane Garofalo,Explorers,ESFP,https://boo.world/database/profile/8442/janeane-garofalo-personality-type,boo.world
2063,Audrey Landers,Healers,ENFJ,https://boo.world/database/profile/1757/audrey-landers-personality-type,boo.world
4243,D'Pharaoh Woon-A-Tai,Wizards,INTJ,https://boo.world/database/profile/4226/dpharaoh-woon-a-tai-personality-type,boo.world
